餐廳名稱,城市
布袋古早味蚵嗲,嘉義縣
新塭蚵嗲,嘉義縣
北門阿善師蚵嗲,台南市
三寮灣秀碧蚵嗲,台南市
馬沙溝吳家蚵嗲,台南市
青鯤鯓秀里蚵嗲,台南市
青鯤鯓古早味蚵嗲,台南市
青鯤鯓尚好味蚵嗲,台南市
青鯤鯓美人蚵嗲,台南市
龍山阿宗蚵嗲蚵仔麵線,台南市
龍山樂腳王蚵嗲,台南市
龍山廟口蚵嗲,台南市
七股三不等蚵嗲,台南市
永吉蔡家古早味蚵嗲,台南市
三股橋頭蚵嗲,台南市
三股橋頭姐妹蚵嗲,台南市
三股橋頭61線蚵嗲,台南市
三股橋頭阿國七股蚵嗲,台南市
下崙廟口東蚵仔煎,雲林縣
東石老饕蚵仔煎,嘉義縣
蚵寮阿滿熱炒店蚵仔煎,台南市
南鯤鯓吳記燒酒螺,台南市
金湖肉粽,台南市
三股肉粽,台南市
過溝米苔目,嘉義縣
下崙炸粿,雲林縣
椬梧廟後阿婆碗粿,雲林縣
椬梧煎盤粿,雲林縣
三股海鮮麵,台南市
家鄉傳統美味海鮮麵,台南市
三家村陽春麵,嘉義縣
蘆竹溝陽春麵,台南市
土城郭家鱔魚意麵,台南市
副瀨手工饅頭,嘉義縣
新塭包子饅頭,嘉義縣
土城仔讚伯手工包子饅頭,台南市
金湖古早味肉羹,雲林縣
下崙文堂鴨肉羹,雲林縣
土城仔新厝魠魚羹,台南市
土城仔魚肚清虱目魚肚湯,台南市
椬梧水煎包,雲林縣
東石水煎包,嘉義縣
新塭水煎包,嘉義縣
下崙老周冰豆花,雲林縣
過溝豆花,嘉義縣
布袋三多傳統豆花,嘉義縣
新塭冷凍豆花,嘉義縣
北門豆花,台南市
南鯤鯓豆花伯豆花,台南市
媽祖宮阿娥豆花,台南市
椬梧陳家大姊大腸包小腸,雲林縣
蚵寮圓仔湯,台南市
國寶土豆豬腳,台南市
國姓土豆豬腳,台南市
下崙土撥薯炭烤地瓜,雲林縣
北門五王橋烤地瓜,台南市
七股莊記炭烤地瓜,台南市
口湖農村社區小舖,雲林縣
好美船屋,嘉義縣
亮哥生態風味體驗養殖場,台南市
黑皮與白牙小吃部,嘉義縣
T2 COFFEE,台南市
密枝果農之家,台南市
隆田酒廠,台南市
醉月軒,台南市
蓮緣香水蓮花園,台南市
懷香食堂,台南市
柳營尖山埤渡假村,台南市
枋腳堡山產土雞城,新北市
黑白毛小吃,新北市
新港海鮮餐廳,新北市
龍蝦大王餐廳,新北市
海洋城活海鮮餐廳,新北市
海王子海鮮餐廳,新北市
田媽媽海景咖啡簡餐,新北市
藏酒酒莊,宜蘭縣
高僑餐飲,宜蘭縣
昭洋海產,宜蘭縣
將軍茶葉蛋,宜蘭縣
李傳仁麻糬,宜蘭縣
王老五鴨賞形象館,宜蘭縣
掌上明珠,宜蘭縣
阿海海鮮部,宜蘭縣
大海豐活海鮮,宜蘭縣
永豐活海鮮餐廳,宜蘭縣
新建利冰店,宜蘭縣
水都活海鮮,宜蘭縣
烏石港活海鮮餐廳,宜蘭縣
頭城休閒農場,宜蘭縣
上好味海鮮樓,宜蘭縣
更新海產老店,宜蘭縣
網元漁坊,宜蘭縣
聯發芋冰老店,宜蘭縣
頭城滷肉大腸麵線,宜蘭縣
挪亞方舟,宜蘭縣
龍之園餐廳,宜蘭縣
鴨喜露滷味專家,宜蘭縣
親家母飛虎丸,宜蘭縣
富美活海鮮,宜蘭縣
蘇澳港廟口米糕,宜蘭縣
鳳鳴羊羹本舖,宜蘭縣
蘇澳廟口米粉羹,宜蘭縣
手捍麵,宜蘭縣
阿英小吃部,宜蘭縣
武荖坑虹鱒休閒餐飲,宜蘭縣
黃金咖啡海岸,新北市
92k週末食堂-九恩商行,新北市
咱倆,新北市
阿宗芋冰城,宜蘭縣
六喜小館,金門縣
永春廣東粥,金門縣
津味廣東稀粥,金門縣
科記廣東粥,金門縣
聯成廣東粥,金門縣
阡湖餐廳,金門縣
金瓦城,金門縣
榕門小館,金門縣
滿天星餐飲,金門縣
葡京餐廳,金門縣
盈春閣餐廳,金門縣
國慶飯店,金門縣
山西拌麵長榮商行,金門縣
中南海中式餐廳素食館,金門縣
三犬西餐廳,金門縣
加州比薩屋,金門縣
紅屋頂餐飲,金門縣
爵士義大利,金門縣
就是十樓,金門縣
集成小吃部,金門縣
順興小吃店,金門縣
香百合,金門縣
閩式燒餅,金門縣
榮發小吃店,金門縣
鴻美餐飲,金門縣
金岐小吃店,金門縣
金城蔥油餅,金門縣
金一餅店,金門縣
